,FIPS,Date,Home Value
397921,06053,2011-10-31,319454.0
397922,06095,2011-10-31,210966.0
397923,01097,2011-10-31,108844.0
397924,42011,2011-10-31,157951.0
397925,48061,2011-10-31,91901.0
397926,51153,2011-10-31,292411.0
397927,33011,2011-10-31,221778.0
397928,27037,2011-10-31,184574.0
397929,16001,2011-10-31,157314.0
397930,55133,2011-10-31,226729.0
397931,45079,2011-10-31,140564.0
397932,05119,2011-10-31,129779.0
397933,12115,2011-10-31,172919.0
397934,41005,2011-10-31,265064.0
397935,04021,2011-10-31,104858.0
397936,39151,2011-10-31,104421.0
397937,36071,2011-10-31,253265.0
397938,39017,2011-10-31,136050.0
397939,34021,2011-10-31,235080.0
397940,42129,2011-10-31,143499.0
397941,29183,2011-10-31,177504.0
397942,18003,2011-10-31,105093.0
397943,41039,2011-10-31,194246.0
397944,37067,2011-10-31,134964.0
397945,45019,2011-10-31,232034.0
397946,42077,2011-10-31,177838.0
397947,06061,2011-10-31,291910.0
397948,26161,2011-10-31,180383.0
397949,22071,2011-10-31,154350.0
397950,48355,2011-10-31,125012.0
397951,47065,2011-10-31,143982.0
397952,01089,2011-10-31,166943.0
397953,12083,2011-10-31,99660.0
397954,27003,2011-10-31,165237.0
397955,34035,2011-10-31,377576.0
397956,12081,2011-10-31,167347.0
397957,12021,2011-10-31,231741.0
397958,42079,2011-10-31,104412.0
397959,37051,2011-10-31,129898.0
397960,29510,2011-10-31,106769.0
397961,51041,2011-10-31,197780.0
397962,41047,2011-10-31,170502.0
397963,48039,2011-10-31,158523.0
397964,51107,2011-10-31,427968.0
397965,36087,2011-10-31,425078.0
397966,48027,2011-10-31,133427.0
397967,17111,2011-10-31,174367.0
397968,51087,2011-10-31,191263.0
397969,49011,2011-10-31,210039.0
397970,36001,2011-10-31,205485.0
397971,39093,2011-10-31,124481.0
397972,08069,2011-10-31,240101.0
397973,42095,2011-10-31,189049.0
397974,12033,2011-10-31,115283.0
397975,36027,2011-10-31,278830.0
397976,12069,2011-10-31,134118.0
397977,21067,2011-10-31,157869.0
397978,17201,2011-10-31,101994.0
397979,33015,2011-10-31,262645.0
397980,08013,2011-10-31,325022.0
397981,02020,2011-10-31,281821.0
397982,48167,2011-10-31,154704.0
397983,34015,2011-10-31,196404.0
397984,24027,2011-10-31,406257.0
397985,08035,2011-10-31,349678.0
397986,31109,2011-10-31,144858.0
397987,45083,2011-10-31,115771.0
397988,23005,2011-10-31,239502.0
397989,26065,2011-10-31,100286.0
397990,42049,2011-10-31,120837.0
397991,48303,2011-10-31,129798.0
397992,12111,2011-10-31,108487.0
397993,12073,2011-10-31,146998.0
397994,29077,2011-10-31,112402.0
397995,18057,2011-10-31,220826.0
397996,34001,2011-10-31,208420.0
397997,09011,2011-10-31,232782.0
397998,17163,2011-10-31,105024.0
397999,06079,2011-10-31,395558.0
398000,45051,2011-10-31,152437.0
398001,17119,2011-10-31,119261.0
398002,12097,2011-10-31,118007.0
398003,42043,2011-10-31,148620.0
398004,37063,2011-10-31,171237.0
398005,18141,2011-10-31,101181.0
398006,13051,2011-10-31,153018.0
398007,26139,2011-10-31,151885.0
398008,47149,2011-10-31,149715.0
398009,45063,2011-10-31,148558.0
398010,06087,2011-10-31,503427.0
398011,13063,2011-10-31,47317.0
398012,06047,2011-10-31,117366.0
398013,40027,2011-10-31,144463.0
398014,22017,2011-10-31,119831.0
398015,08123,2011-10-31,196487.0
398016,06041,2011-10-31,705115.0
398017,48245,2011-10-31,93896.0
398018,53067,2011-10-31,219113.0
398019,53035,2011-10-31,245776.0
398020,26077,2011-10-31,119670.0
398021,48479,2011-10-31,128531.0
398022,55009,2011-10-31,138699.0
398023,12001,2011-10-31,143201.0
398024,28049,2011-10-31,82640.0
398025,24025,2011-10-31,264473.0
398026,53077,2011-10-31,147322.0
398027,51710,2011-10-31,188780.0
398028,39099,2011-10-31,82700.0
398029,37021,2011-10-31,208768.0
398030,27163,2011-10-31,220133.0
398031,42041,2011-10-31,192147.0
